time,station_id,sbe_temp_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2020-01-06 07:00:00,Mace Head,9.2298,1,3,1,1,1,1,3.0
2020-01-06 07:30:00,Mace Head,9.2299,1,3,1,1,1,1,3.0
2020-01-06 08:00:00,Mace Head,9.2232,1,3,1,1,1,1,3.0
2020-01-06 08:30:00,Mace Head,9.201,1,3,1,1,1,1,3.0
2020-01-06 09:00:00,Mace Head,9.1694,1,3,1,1,1,1,3.0
2020-01-06 09:30:00,Mace Head,9.1515,1,3,1,1,1,1,3.0
2020-01-06 10:00:00,Mace Head,9.1438,1,3,1,1,1,1,3.0
2020-01-06 10:30:00,Mace Head,9.1432,1,3,1,1,1,1,3.0
2020-01-06 11:00:00,Mace Head,9.149,1,3,1,1,1,1,3.0
2020-01-06 11:30:00,Mace Head,9.1475,1,3,1,1,1,1,3.0
2020-01-06 12:00:00,Mace Head,9.1602,1,3,1,1,1,1,3.0
2020-01-06 12:30:00,Mace Head,9.1853,1,3,1,1,1,1,3.0
2020-01-06 13:00:00,Mace Head,9.195,1,3,1,1,1,1,3.0
2020-01-06 13:30:00,Mace Head,9.2034,1,3,1,1,1,1,3.0
2020-01-06 14:00:00,Mace Head,9.201199,1,3,1,1,1,1,3.0
2020-01-06 14:30:00,Mace Head,9.1975,1,3,1,1,1,1,3.0
2020-01-06 15:00:00,Mace Head,9.1992,1,3,1,1,1,1,3.0
2020-01-06 15:30:00,Mace Head,9.1988,1,3,1,1,1,1,3.0
2020-01-06 16:00:00,Mace Head,9.107,1,3,1,1,1,1,3.0
2020-01-06 16:30:00,Mace Head,9.1013,1,3,1,1,1,1,3.0
2020-01-06 17:00:00,Mace Head,9.1069,1,3,1,1,1,1,3.0
2020-01-06 17:30:00,Mace Head,9.1124,1,3,1,1,1,1,3.0
2020-01-06 18:00:00,Mace Head,9.0935,1,3,1,1,1,1,3.0
2020-01-06 18:30:00,Mace Head,9.0051,1,3,1,1,1,1,3.0
2020-01-06 19:00:00,Mace Head,8.9627,1,3,1,1,1,1,3.0
2020-01-06 19:30:00,Mace Head,8.9293,1,3,1,1,1,1,3.0
2020-01-06 20:00:00,Mace Head,8.9078,1,3,1,1,1,1,3.0
2020-01-06 20:30:00,Mace Head,8.8497,1,3,1,1,1,1,3.0
2020-01-06 21:00:00,Mace Head,8.8061,1,3,1,1,1,1,3.0
2020-01-06 21:30:00,Mace Head,8.8223,1,3,1,1,1,1,3.0
2020-01-06 22:00:00,Mace Head,8.8308,1,3,1,1,1,1,3.0
2020-01-06 22:30:00,Mace Head,8.8418,1,3,1,1,1,1,3.0
2020-01-06 23:00:00,Mace Head,8.8531,1,3,1,1,1,1,3.0
2020-01-06 23:30:00,Mace Head,8.8961,1,3,1,1,1,1,3.0
2020-01-07 00:00:00,Mace Head,8.9202,1,3,1,1,1,1,3.0
2020-01-07 00:30:00,Mace Head,8.932201,1,3,1,1,1,1,3.0
2020-01-07 01:00:00,Mace Head,8.943999999999999,1,3,1,1,1,1,3.0
2020-01-07 01:30:00,Mace Head,8.9696,1,3,1,1,1,1,3.0
2020-01-07 02:00:00,Mace Head,8.9862,1,3,1,1,1,1,3.0
2020-01-07 02:30:00,Mace Head,9.0168,1,3,1,1,1,1,3.0
